Andy,static,a,1,0.007867813110351562
Andy,static,j,1,0.0040531158447265625
Andy,static,q,1,0.0059604644775390625
Andy,static,z,1,0.0069141387939453125
Andy,static,n,1,0.014781951904296875
Andy,static,u,2,0.012636184692382812
Andy,static,a,2,0.010967254638671875
Andy,static,z,2,0.008821487426757812
Andy,static,u,2,0.0050067901611328125
Andy,static,j,2,0.0030994415283203125
Andy,static,n,2,0.0040531158447265625
Andy,static,q,3,0.0050067901611328125
Andy,static,q,3,0.006198883056640625
Andy,static,z,3,0.005245208740234375
Andy,static,j,3,0.004291534423828125
Andy,static,a,3,0.0057220458984375
Andy,static,n,3,0.0040531158447265625
Andy,static,u,4,0.005245208740234375
Andy,static,z,4,0.0030994415283203125
Andy,static,q,4,0.0057220458984375
Andy,static,u,4,0.0030994415283203125
Andy,static,n,4,0.0050067901611328125
Andy,static,j,4,0.0040531158447265625
Andy,static,a,5,0.00476837158203125
Andy,static,j,5,0.005245208740234375
Andy,static,a,5,0.010967254638671875
Andy,static,n,5,0.0050067901611328125
Andy,static,q,5,0.0050067901611328125
Andy,static,u,5,0.007867813110351562
Andy,static,z,6,0.0026226043701171875
Andy,static,q,6,0.0040531158447265625
Andy,static,j,6,0.003814697265625
Andy,static,a,6,0.009298324584960938
Andy,static,n,6,0.004291534423828125
Andy,static,u,6,0.0021457672119140625
Andy,static,z,6,0.003814697265625
